PID: 0 | TP: 0 | CP: 1 | EP: EXECUTANDO | NES: 0 | N_CPU: 1 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 227 | CP: 228 | EP: BLOQUEADO | NES: 1 | N_CPU: 1 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 227 | CP: 228 | EP: PRONTO | NES: 1 | N_CPU: 1 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 227 | CP: 228 | EP: EXECUTANDO | NES: 1 | N_CPU: 2 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 254 | CP: 255 | EP: BLOQUEADO | NES: 2 | N_CPU: 2 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 254 | CP: 255 | EP: EXECUTANDO | NES: 2 | N_CPU: 3 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 302 | CP: 303 | EP: BLOQUEADO | NES: 3 | N_CPU: 3 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 302 | CP: 303 | EP: PRONTO | NES: 3 | N_CPU: 3 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 302 | CP: 303 | EP: EXECUTANDO | NES: 3 | N_CPU: 4 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 325 | CP: 326 | EP: BLOQUEADO | NES: 4 | N_CPU: 4 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 325 | CP: 326 | EP: PRONTO | NES: 4 | N_CPU: 4 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 325 | CP: 326 | EP: EXECUTANDO | NES: 4 | N_CPU: 5 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 450 | CP: 451 | EP: BLOQUEADO | NES: 5 | N_CPU: 5 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 450 | CP: 451 | EP: EXECUTANDO | NES: 5 | N_CPU: 6 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 556 | CP: 557 | EP: BLOQUEADO | NES: 6 | N_CPU: 6 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 556 | CP: 557 | EP: EXECUTANDO | NES: 6 | N_CPU: 7 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 621 | CP: 622 | EP: BLOQUEADO | NES: 7 | N_CPU: 7 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 621 | CP: 622 | EP: PRONTO | NES: 7 | N_CPU: 7 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 621 | CP: 622 | EP: EXECUTANDO | NES: 7 | N_CPU: 8 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 815 | CP: 816 | EP: BLOQUEADO | NES: 8 | N_CPU: 8 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 815 | CP: 816 | EP: PRONTO | NES: 8 | N_CPU: 8 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 815 | CP: 816 | EP: EXECUTANDO | NES: 8 | N_CPU: 9 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 883 | CP: 884 | EP: BLOQUEADO | NES: 9 | N_CPU: 9 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 883 | CP: 884 | EP: EXECUTANDO | NES: 9 | N_CPU: 10 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 971 | CP: 972 | EP: BLOQUEADO | NES: 10 | N_CPU: 10 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 971 | CP: 972 | EP: EXECUTANDO | NES: 10 | N_CPU: 11 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 1038 | CP: 1039 | EP: BLOQUEADO | NES: 11 | N_CPU: 11 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 1038 | CP: 1039 | EP: EXECUTANDO | NES: 11 | N_CPU: 12 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 1067 | CP: 1068 | EP: BLOQUEADO | NES: 12 | N_CPU: 12 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 1067 | CP: 1068 | EP: EXECUTANDO | NES: 12 | N_CPU: 13 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 1081 | CP: 1082 | EP: BLOQUEADO | NES: 13 | N_CPU: 13 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 1081 | CP: 1082 | EP: PRONTO | NES: 13 | N_CPU: 13 | Ação: BLOQUEADO >>> PRONTO
